timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1546452541150,120,HTTP Request,200,OK,http://www.example.com 1-11,text,true,,1592,116,18,18,120,0,0
1546452541160,120,HTTP Request,200,OK,http://www.example.com 1-9,text,true,,1592,116,19,19,120,0,0
1546452541161,120,HTTP Request,200,OK,http://www.example.com 1-5,text,true,,1592,116,19,19,120,0,0
1546452541198,107,HTTP Request,200,OK,http://www.example.com 1-6,text,true,,1608,116,19,19,106,0,0
1546452541198,107,HTTP Request,200,OK,http://www.example.com 1-1,text,true,,1592,116,19,19,107,0,0
1546452541201,109,HTTP Request,200,OK,http://www.example.com 1-10,text,true,,1592,116,19,19,109,0,0
1546452541206,117,HTTP Request,200,OK,http://www.example.com 1-8,text,true,,1592,116,19,19,117,0,0
1546452541222,105,HTTP Request,200,OK,http://www.example.com 1-3,text,true,,1613,116,19,19,105,0,0
1546452541231,113,HTTP Request,200,OK,http://www.example.com 1-4,text,true,,1613,116,20,20,113,0,0
1546452541231,114,HTTP Request,200,OK,http://www.example.com 1-2,text,true,,1592,116,20,20,114,0,0
1546452541242,106,HTTP Request,200,OK,http://www.example.com 1-12,text,true,,1608,116,20,20,105,0,0
1546452541231,120,HTTP Request,200,OK,http://www.example.com 1-14,text,true,,1613,116,20,20,120,0,0
1546452541095,265,HTTP Request,200,OK,http://www.example.com 1-16,text,true,,1614,116,20,20,265,0,131
1546452541254,115,HTTP Request,200,OK,http://www.example.com 1-7,text,true,,1592,116,20,20,115,0,0
1546452541260,118,HTTP Request,200,OK,http://www.example.com 1-13,text,true,,1613,116,20,20,117,0,0
1546452541270,117,HTTP Request,200,OK,http://www.example.com 1-15,text,true,,1613,116,20,20,117,0,0
1546452541281,109,HTTP Request,200,OK,http://www.example.com 1-5,text,true,,1592,116,20,20,108,0,0
1546452541280,110,HTTP Request,200,OK,http://www.example.com 1-9,text,true,,1608,116,20,20,110,0,0
1546452541270,122,HTTP Request,200,OK,http://www.example.com 1-11,text,true,,1614,116,20,20,121,0,0
1546452541155,243,HTTP Request,200,OK,http://www.example.com 1-17,text,true,,1608,116,21,21,243,0,129
1546452541305,134,HTTP Request,200,OK,http://www.example.com 1-1,text,true,,1592,116,21,21,134,0,0
1546452541305,135,HTTP Request,200,OK,http://www.example.com 1-6,text,true,,1592,116,21,21,135,0,0
1546452541310,130,HTTP Request,200,OK,http://www.example.com 1-10,text,true,,1613,116,21,21,130,0,0
1546452541328,118,HTTP Request,200,OK,http://www.example.com 1-3,text,true,,1592,116,21,21,115,0,0
1546452541323,128,HTTP Request,200,OK,http://www.example.com 1-8,text,true,,1592,116,21,21,128,0,0
1546452541215,244,HTTP Request,200,OK,http://www.example.com 1-18,text,true,,1592,116,22,22,243,0,114
1546452541348,121,HTTP Request,200,OK,http://www.example.com 1-12,text,true,,1613,116,22,22,121,0,0
1546452541351,119,HTTP Request,200,OK,http://www.example.com 1-14,text,true,,1592,116,22,22,119,0,0
1546452541344,126,HTTP Request,200,OK,http://www.example.com 1-4,text,true,,1608,116,22,22,126,0,0
1546452541369,109,HTTP Request,200,OK,http://www.example.com 1-7,text,true,,1614,116,22,22,109,0,0
1546452541378,114,HTTP Request,200,OK,http://www.example.com 1-13,text,true,,1597,116,22,22,114,0,0
1546452541360,134,HTTP Request,200,OK,http://www.example.com 1-16,text,true,,1592,116,22,22,134,0,0
1546452541346,152,HTTP Request,200,OK,http://www.example.com 1-2,text,true,,1592,116,22,22,146,0,0
1546452541387,116,HTTP Request,200,OK,http://www.example.com 1-15,text,true,,1613,116,22,22,116,0,0
1546452541390,115,HTTP Request,200,OK,http://www.example.com 1-5,text,true,,1592,116,22,22,115,0,0
1546452541275,235,HTTP Request,200,OK,http://www.example.com 1-19,text,true,,1608,116,22,22,235,0,110
1546452541392,118,HTTP Request,200,OK,http://www.example.com 1-11,text,true,,1613,116,22,22,118,0,0
1546452541390,122,HTTP Request,200,OK,http://www.example.com 1-9,text,true,,1613,116,22,22,122,0,0
1546452541398,119,HTTP Request,200,OK,http://www.example.com 1-17,text,true,,1592,116,23,23,119,0,0
1546452541441,107,HTTP Request,200,OK,http://www.example.com 1-6,text,true,,1592,116,23,23,107,0,0
1546452541441,109,HTTP Request,200,OK,http://www.example.com 1-10,text,true,,1592,116,23,23,108,0,0
1546452541439,115,HTTP Request,200,OK,http://www.example.com 1-1,text,true,,1592,116,23,23,115,0,0
1546452541446,126,HTTP Request,200,OK,http://www.example.com 1-3,text,true,,1597,116,23,23,126,0,0
1546452541470,111,HTTP Request,200,OK,http://www.example.com 1-14,text,true,,1592,116,24,24,110,0,0
1546452541451,130,HTTP Request,200,OK,http://www.example.com 1-8,text,true,,1614,116,24,24,130,0,0
1546452541469,114,HTTP Request,200,OK,http://www.example.com 1-12,text,true,,1592,116,24,24,114,0,0
1546452541470,113,HTTP Request,200,OK,http://www.example.com 1-4,text,true,,1597,116,24,24,113,0,0
1546452541460,127,HTTP Request,200,OK,http://www.example.com 1-18,text,true,,1608,116,24,24,127,0,0
1546452541335,261,HTTP Request,200,OK,http://www.example.com 1-20,text,true,,1613,116,24,24,254,0,112
1546452541478,121,HTTP Request,200,OK,http://www.example.com 1-7,text,true,,1597,116,24,24,120,0,0
