timeStamp,service,type,success,responseTime,bytes
1539542335187,/,GET,1,620.624065399,1270
1539542336114,/,GET,1,546.720981598,1270
1539542336114,/,GET,1,546.720981598,1270
1539542337079,/,GET,1,126.460075378,1270
1539542337079,/,GET,1,126.460075378,1270
1539542337079,/,GET,1,126.460075378,1270
1539542337176,/,GET,1,606.792926788,1270
1539542337176,/,GET,1,606.792926788,1270
1539542337176,/,GET,1,606.792926788,1270
1539542337733,/,GET,1,125.635147095,1270
1539542337733,/,GET,1,125.635147095,1270
1539542337733,/,GET,1,125.635147095,1270
1539542337733,/,GET,1,125.635147095,1270
1539542338103,/,GET,1,532.430887222,1270
1539542338103,/,GET,1,532.430887222,1270
1539542338103,/,GET,1,532.430887222,1270
1539542338103,/,GET,1,532.430887222,1270
1539542338695,/,GET,1,178.434848785,1270
1539542338695,/,GET,1,178.434848785,1270
1539542338695,/,GET,1,178.434848785,1270
1539542338695,/,GET,1,178.434848785,1270
1539542338695,/,GET,1,178.434848785,1270
1539542338701,/,GET,1,137.253046036,1270
1539542338701,/,GET,1,137.253046036,1270
1539542338701,/,GET,1,137.253046036,1270
1539542338701,/,GET,1,137.253046036,1270
1539542338701,/,GET,1,137.253046036,1270
1539542339093,/,GET,1,520.859956741,1270
1539542339093,/,GET,1,520.859956741,1270
1539542339093,/,GET,1,520.859956741,1270
1539542339093,/,GET,1,520.859956741,1270
1539542339093,/,GET,1,520.859956741,1270
1539542339232,/,GET,1,135.938882828,1270
1539542339232,/,GET,1,135.938882828,1270
1539542339232,/,GET,1,135.938882828,1270
1539542339232,/,GET,1,135.938882828,1270
1539542339232,/,GET,1,135.938882828,1270
1539542339489,/,GET,1,125.127792358,1270
1539542339489,/,GET,1,125.127792358,1270
1539542339489,/,GET,1,125.127792358,1270
1539542339489,/,GET,1,125.127792358,1270
1539542339489,/,GET,1,125.127792358,1270
1539542340092,/,GET,1,518.790006638,1270
1539542340092,/,GET,1,518.790006638,1270
1539542340092,/,GET,1,518.790006638,1270
1539542340092,/,GET,1,518.790006638,1270
1539542340092,/,GET,1,518.790006638,1270
1539542340092,/,GET,1,518.790006638,1270
1539542340214,/,GET,1,129.100799561,1270
1539542340214,/,GET,1,129.100799561,1270
1539542340214,/,GET,1,129.100799561,1270
1539542340214,/,GET,1,129.100799561,1270
1539542340214,/,GET,1,129.100799561,1270
1539542340214,/,GET,1,129.100799561,1270
1539542340379,/,GET,1,123.571872711,1270
1539542340379,/,GET,1,123.571872711,1270
1539542340379,/,GET,1,123.571872711,1270
1539542340379,/,GET,1,123.571872711,1270
1539542340379,/,GET,1,123.571872711,1270
1539542340379,/,GET,1,123.571872711,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340636,/,GET,1,166.142940521,1270
1539542340699,/,GET,1,126.157999039,1270
1539542340700,/,GET,1,126.157999039,1270
1539542340700,/,GET,1,126.157999039,1270
1539542340700,/,GET,1,126.157999039,1270
1539542340700,/,GET,1,126.157999039,1270
1539542340700,/,GET,1,126.157999039,1270
1539542340700,/,GET,1,126.157999039,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341114,/,GET,1,539.160013199,1270
1539542341217,/,GET,1,122.782945633,1270
1539542341217,/,GET,1,122.782945633,1270
1539542341217,/,GET,1,122.782945633,1270
